시설명,시설주소,X,Y
마포점자도서실,서울특별시 마포구 망원2동 451-1,191366.25785644393,551202.4959876981
피어라희망센터,서울특별시 도봉구 도봉로120길 16,203301.55785612215,561184.2708745531
무지개동산주간보호,서울특별시 송파구 성내천로22길 16,212956.5485074942,544470.2024567609
송파구수어통역센터,서울특별시 송파구 문정로 13,210986.97473355778,543006.7559757647
성동구수어통역센터,서울특별시 성동구 청계천로 516,202973.9579863982,552316.1147844904
마라주간보호센터,서울특별시 송파구 송이로34길 43-1,211396.31713275888,542794.177748043
주몽재활의원,서울특별시 강동구 상암로 369 상일동 179,214460.54855805004,549643.8512172834
장애인주간보호시설인강원,서울특별시 도봉구 평화로15번길 9-25,203741.3979285346,566110.7410844362
보호작업장 인강원,서울특별시 도봉구 평화로15번길 9-25,203741.3979285346,566110.7410844362
아미네,서울특별시 도봉구 시루봉로13가길 30,202695.29211569522,563115.0561397912
도봉주간보호센터,서울특별시 도봉구 도당로 53,203044.37938508278,562592.6799051936
마라제3공동생활가정,서울특별시 송파구 가락로5길 7-11,208969.34183837648,544506.2153441584
마라제1공동생활가정,서울특별시 송파구 송이로34길 43-1,211396.31713275888,542794.177748043
마라제2공동생활가정,서울특별시 송파구 송이로34길 43-1,211396.31713275888,542794.177748043
충현보호작업장,서울특별시 강남구 논현로98길 16,203253.4935784472,544903.9467065514
THE채움,서울특별시 송파구 마천로51길 28,213492.53299489166,544171.5435398438
헬렌켈러의집,서울특별시 강북구 삼양로91가길 8,201397.30184130045,559656.1341434178
강남구수어통역센터,서울특별시 강남구 학동로 343,203592.29636389302,546441.4927334578
논현공동생활가정,서울특별시 강남구 강남대로120길 52,202429.3727914267,545357.1588199326
하상주간보호센터,서울특별시 강남구 개포로 613,206636.03868861997,543674.3661908386
라온홈,서울특별시 마포구 잔다리로9길 21,192365.2476263418,550839.5625226982
한벗장애인주간보호시설,서울특별시 용산구 효창원로69길 42-3,196481.01827419735,549261.6238153139
행복이가득한집,서울특별시 용산구 후암로28라길 9,198213.01186382273,550023.7243112625
임마누엘목동공동체,서울특별시 양천구 목동중앙본로17길 29,188294.02522089178,549141.2101379485
실로암배움울타리,서울특별시 관악구 조원로12길 66-0,191700.55646326006,542451.7722873066
사랑쉼터의집,서울특별시 강동구 상암로79길 24,214782.1450221279,549705.9380203114
베다니장애인주간보호시설,서울특별시 양천구 남부순환로65길 12-2,185465.9711179216,547581.9742359752
가브리엘의집,서울특별시 용산구 후암로35길 22-23,197836.21035849227,550138.0205531968
동천일리하우스,서울특별시 노원구 노원로18길 41,206471.52777337804,560533.6658801083
우리집,서울특별시 강서구 양천로47길 70-6,185648.61335545822,552658.545453965
나눔공동체,서울특별시 강서구 등촌로13바길 59,187343.73366064762,548435.3424877715
선린원,서울특별시 강서구 까치산로22길 35-5,187005.20229127788,549908.5893969279
잔디네집,서울특별시 마포구 월드컵로 190,191454.4461924341,551633.5168887896
푸른터,서울특별시 강서구 초록마을로26길 35-8,186691.78419858974,548847.9824098665
푸른터2호,서울특별시 강서구 화곡로13길 20-9,185303.4394536937,549074.950706131
푸른터3호,서울특별시 강서구 허준로5길 37,186849.55029055418,552123.89872389
강서뇌성마비복지관,서울특별시 강서구 방화대로 45길 69,183443.7192356667,552756.8691144062
그라나다보호작업센터,서울특별시 강서구 허준로5길 37,186849.55029055418,552123.89872389
강서희망의집,서울특별시 강서구 강서로34길 36,185992.41876574527,549325.6375525965
주간보호센터햇볕교실,서울특별시 강서구 개화동로21길 4,182812.2939067694,552308.7025139418
기쁜우리보호작업장,서울특별시 강서구 허준로 65,186651.52069523,552197.9334790496
강서구휴먼희망일터,서울특별시 강서구 강서로 466,185996.44693892312,551939.853911088
다복스위트홈,서울특별시 노원구 상계로5길 22-94,205575.83110214636,561970.6892031643
마라제4공동생활가정,서울특별시 송파구 마천로39길 35,213201.09823355713,544560.5309641188
양지골장애인주간보호시설,서울특별시 구로구 구로중앙로28길 62,190190.37594114544,544513.733801771
리드릭,서울특별시 영등포구 양산로 96양산로 96,190592.38879985968,547151.6966954564
마포구립장애인직업재활센터(수아밀),서울특별시 마포구 매봉산로 18,190274.6108161343,552739.6726553241
강남세움주간보호센터,서울특별시 강남구광평로60길 22,209454.40127401057,543072.9208860333
파랑새교육원주간보호,서울특별시 강서구 까치산로 134,186869.9518902819,549985.2397150843
화곡성모공동생활가정,서울특별시 강서구 초록마을로24길 7-8,186816.63610321176,548802.1006984463
강남장애인복지관,서울특별시 강남구 개포로 605,206496.6923259971,543618.141259243
