시설명,시설주소,X,Y,현인원,사고건수
한마음 주간보호센터,서울특별시 은평구 연서로17길 47,126.912337,37.6139986,13.0,49.0
하늘꿈터,서울특별시 동대문구 사가정로25길 29,127.0703576,37.5801734,10.0,28.0
용산구수어통역센터,서울특별시 용산구 서빙고로 245,126.991076,37.5204872,5389.0,24.0
시립영등포장애인복지관,서울특별시 영등포구 버드나루로 22,126.9128674,37.5207961,698.0,71.0
다운주간보호센터,서울특별시 노원구 화랑로 478,127.0802914,37.6189569,16.0,47.0
모랫말꿈터,서울특별시 영등포구 도영로 37,126.8970707,37.5099441,19.0,18.0
강동그린나래복지센터,서울특별시 강동구 고덕로 100-5,127.1365523,37.5543319,29.0,16.0
성프란치스꼬민들레의집,서울특별시 영등포구 도신로 146-3,126.9079244,37.5092237,6.0,30.0
햇살터(성프란치스꼬),서울특별시 구로구 남부순환로105라길 25-10,126.8905209,37.4815694,12.0,60.0
한마음2호공동생활가정,서울특별시 송파구 위례성대로8길 46,127.1174729,37.5110879,4.0,23.0
SG누리센터,서울특별시 금천구 시흥대로 182-0,126.902725,37.4502637,10.0,26.0
노원1장애인주간보호센터,서울특별시 노원구 월계로 372,127.0605097,37.6300472,14.0,16.0
다사랑공동생활가정,서울특별시 강북구 노해로7길 42-5,127.0202953,37.6379735,4.0,29.0
다향공동생활가정,서울특별시 강서구 양천로 595,126.8651344,37.5563166,4.0,20.0
나자로의집보호작업장,서울특별시 관악구 남부순환로194길,126.9345863,37.4823057,29.0,30.0
북부(종합사회복지관)장애인주간보호센터,서울특별시 노원구 동일로245길 56,127.052403,37.6796011,15.0,29.0
실로암장애인근로사업장,서울특별시 관악구 남부순환로 1717,126.9411517,37.4830211,78.0,26.0
중계1호,서울특별시 노원구 노원로19길 31,127.0696568,37.6434538,4.0,16.0
중계2호그룹홈,서울특별시 노원구 노원로19길 31,127.0696568,37.6434538,4.0,16.0
상계(종합사회복지관)장애인주간보호센터,서울특별시 노원구 덕릉로115나길 25,127.0784423,37.667934,16.0,20.0
평화장애인주간활동센터,서울특별시 노원구 노원로 331,127.0690103,37.6465083,13.0,17.0
영등포구주간보호센터,서울특별시 영등포구 신길로 55,126.9079979,37.4975468,14.0,34.0
임마누엘신사공동체,서울특별시 은평구 갈현로2가길 13,126.9111298,37.5992941,4.0,15.0
임마누엘역촌공동체,서울특별시 은평구 진흥로1길 13-19,126.9173684,37.6013555,4.0,37.0
서울남부주간보호센터,서울특별시 동작구 여의대방로20길 33,126.919139,37.4926778,14.0,13.0
남부장애인공동생활가정1호,서울특별시 영등포구 도신로48길 9-13,126.9137766,37.5105732,4.0,18.0
남부장애인공동생활가정2호,서울특별시 영등포구 영신로17길 16-016,126.906643,37.5134823,2.0,0.0
한빛장애인주간보호센터,서울특별시 양천구 신월로11길 16,126.8402308,37.5190636,13.0,39.0
관음의 집,서울특별시 금천구 독산로14길 13,126.9076123,37.4523569,2.0,38.0
지장의 집,서울특별시 금천구 독산로14길 13,126.9076123,37.4523569,4.0,38.0
노원시각장애인주간보호센터,서울특별시 노원구 상계로23길 42,127.067721,37.6597245,12.0,27.0
원광장애인주간보호시설,서울특별시 중랑구 신내로 56,127.0960164,37.6041991,12.0,25.0
보라매주간보호센터,서울특별시 동작구 여의대방로20길 33,126.919139,37.4926778,11.0,13.0
정겨우리주간보호센터,서울특별시 은평구 갈현로11길 30,126.9068159,37.6056774,12.0,5.0
정립회관주간보호센터,서울특별시 광진구 워커힐로 93,127.0976391,37.5508019,12.0,1.0
강서구수어통역센터,서울특별시 강서구 발산로 40,126.8213981,37.5536291,6252.0,15.0
구로구수어통역센터,서울특별시 구로구 가마산로 272,126.8906229,37.4958027,48.0,45.0
삼전주간보호시설,서울특별시 송파구 백제고분로32길 35,127.0949477,37.4991276,15.0,11.0
브니엘의 집,서울특별시 구로구 구로중앙로21길 22-1,126.8868651,37.4961798,13.0,30.0
이수경하우스,서울특별시 노원구 덕릉로122길 15-4,127.0812487,37.6688454,4.0,0.0
송파시각장애인축구장,서울특별시 송파구 올림픽로 474,127.1175232,37.5247553,0.0,43.0
송파구장애인운전교육원,서울특별시 송파구 삼학사로2길 49,127.1005419,37.4966651,0.0,18.0
임마누엘시흥공동체,서울특별시 금천구 독산로50마길 19-10,126.9119408,37.4612876,4.0,5.0
임마누엘독산공동체,서울특별시 금천구 시흥대로118길 44,126.9012131,37.4681575,4.0,49.0
임마누엘신월공동체,서울특별시 양천구 오목로11길 9,126.8446184,37.5237118,4.0,17.0
임마누엘신정공동체,서울특별시 양천구 오목로 148-34,126.8541487,37.5238297,3.0,31.0
임마누엘개봉공동체,서울특별시 구로구 고척로16가길 35,126.8448234,37.4994576,4.0,37.0
임마누엘구로공동체,서울특별시 구로구 오리로22가길 38-6,126.8299912,37.5005845,4.0,9.0
임마누엘화곡1공동체,서울특별시 강서구 등촌로13다길 22-7,126.8591691,37.5355463,4.0,0.0
임마누엘화곡공동체,서울특별시 강서구 강서로10길 108,126.8538688,37.5306756,4.0,35.0
임마누엘등촌1공동체,서울특별시 강서구 화곡로66길 145-15,126.8615718,37.5554449,4.0,24.0
기쁜우리복지관부설주간보호시설,서울특별시 강서구 허준로 65,126.848903,37.5692246,18.0,5.0
충현복지관,서울특별시 강남구 논현로98길 16,127.0367954,37.5035967,807.0,52.0
해마을주간보호센터,서울특별시 강남구 개포로 617-8,127.0777063,37.4939953,13.0,10.0
중랑구수어통역센터,서울특별시 중랑구 면목로 299,127.0866745,37.5792267,77.0,35.0
성모자애 엠마우스공동생활가정 1,서울특별시 강남구 헌릉로757길 35,127.1194761,37.4700435,4.0,0.0
성모자애엠마우스공동생활가정3호,서울특별시 강남구 헌릉로757길 35,127.1194761,37.4700435,4.0,0.0
성모자애공동생활가정,서울특별시 강남구 헌릉로757길 35,127.1194761,37.4700435,4.0,0.0
성모자애주간보호시설,서울특별시 강남구 헌릉로757길 35,127.1194761,37.4700435,15.0,0.0
성모자애제2주간보호센터,서울특별시 강남구 헌릉로757길 35,127.1194761,37.4700435,15.0,0.0
성모자애보호작업장,서울특별시 강남구 헌릉로757길 35,127.1194761,37.4700435,35.0,0.0
사랑손주간보호센터,서울특별시 동작구 사당로 188-7,126.9693901,37.4850624,10.0,0.0
서울특별시립장애인생산품판매시설,서울특별시 양천구 목동서로 33,126.8821342,37.5373038,0.0,20.0
동작구립장애인보호작업장,서울특별시 동작구 등용로12길 57,126.9324578,37.5119543,42.0,14.0
성동주간보호센터,서울특별시 성동구 청계천로 506,127.033664,37.5703813,12.0,28.0
성모보호작업장,서울특별시 성동구 금호산9가길 57-10,127.0185491,37.5529607,42.0,17.0
성동보호작업장,서울특별시 성동구 청계천로 506-0,127.033664,37.5703813,30.0,28.0
성동장애인복지관공동생활가정(믿음의집),서울특별시 성동구 금호산9가길 57-10,127.0185491,37.5529607,4.0,17.0
성동장애인복지관공동생활가정(소망의집),서울특별시 성동구 금호산9가길 57-10,127.0185491,37.5529607,4.0,17.0
성동장애인복지관공동생활가정(사랑의집),서울특별시 성동구 금호산9가길 57-10,127.0185491,37.5529607,4.0,17.0
성동장애인복지관 공동생활가정(기쁨의 집),서울특별시 성동구 무수막14길 10,127.0214242,37.5525913,4.0,18.0
광진장애인보호작업장,서울특별시 광진구 동일로80길 20,127.0809459,37.5700727,31.0,23.0
은평구수어통역센터,서울특별시 은평구 증산서길 82,126.9068309,37.5835788,5186.0,17.0
정립장애인보호작업장,서울특별시 광진구 워커힐로 93,127.0976391,37.5508019,26.0,1.0
정립전자,서울특별시 광진구 워커힐로 93,127.0976391,37.5508019,83.0,1.0
보라매그룹홈,서울특별시 동작구 보라매로13길 21,126.9265516,37.4961915,4.0,0.0
자운그룹홈,서울특별시 도봉구 도봉로185길 14,127.0443602,37.6855462,3.0,0.0
까리따스장애인주간보호센터,서울특별시 서초구 남부순환로 2124,126.9842119,37.4747629,12.0,53.0
사랑의일터,서울특별시 서초구 효령로55길 28,127.0145144,37.486122,26.0,41.0
교남공동생활가정4호,서울특별시 강서구 까치산로8길 44,126.8463085,37.5416315,4.0,0.0
교남공동생활가정1호,서울특별시 강서구 까치산로16길 21,126.8488102,37.5456529,4.0,0.0
구로구립장애인보호작업장,서울특별시 구로구 경인로 21,126.8247581,37.4897454,54.0,13.0
동천재활체육시설,서울특별시 노원구 노원로18길 41,127.0733277,37.6444026,65.0,11.0
교남공동생활가정5호,서울특별시 강서구 화곡로31길 5-6,126.8426278,37.5436607,3.0,0.0
서초구수어통역센터,서울특별시 서초구 서운로23길 17,127.0211484,37.4986336,5647.0,19.0
서울남부보호작업장,서울특별시 동작구 여의대방로20길 33,126.919139,37.4926778,39.0,13.0
서울장애인종합복지관,서울특별시 강동구 고덕로 201,127.1483522,37.5555414,2000.0,9.0
오뚜기뇌성마비인주간보호센터,서울특별시 노원구 덕릉로70가길 96,127.0567606,37.6423379,13.0,17.0
참사랑주간보호센터,서울특별시 송파구 마천로 89,127.1303229,37.5069925,11.0,20.0
번동보호작업장,서울특별시 강북구 한천로 115길 20,127.0362166,37.6330865,39.0,17.0
여성시각장애인주간보호센터,서울특별시 중구 소공로4길 15,126.9836369,37.5574989,10.0,13.0
맑음터단기보호시설,서울특별시 마포구 백범로 73-11,126.9404896,37.549207,10.0,18.0
연화직업재활원,서울특별시 송파구 가락로 86,127.1058712,37.5004877,16.0,38.0
사랑의복지관 재가복지봉사센터,서울특별시 서초구 강남대로65길 19,127.023991,37.4998664,,88.0
하하센터,서울특별시 노원구 한글비석로24가길 72-20,127.0693639,37.6645924,10.0,17.0
서초구립주간이용센터,서울특별시 서초구 남부순환로340길 15,127.0248702,37.4821422,10.0,25.0
라파엘 주간보호시설,서울특별시 종로구 필운대로9나길 15-4,126.9666871,37.5830086,6.0,2.0
