시설명,X,Y
한다솜장애인공동생활가정,214219.5685000524,551326.7755161502
다사랑(대한정신보건가족협회),182262.97025188274,553479.9499625026
프란치스코의집 단기거주시설,201719.89842298353,560847.2144148231
광진구수어통역센터,207859.6429935364,548736.4485380081
초록등대장애인보호작업장,183320.30209225745,550778.0070563842
강동구수어통역센터,211108.88868745472,547651.0430061929
강서나누리센터,183566.45738601906,551485.3470837328
구립서대문장애인공동생활가정,194133.59361131917,554736.3527132218
갑을장애인주간보호센터,192736.59926590667,542032.0733732546
군자작은예수의집,207653.743093077,549695.5364352542
종로장애인복지관,197334.21846062774,553837.4960558093
꿈터장애인주간보호센터,195055.02363044015,542354.3555415602
함재보호작업장,209606.15474621582,544967.4899135259
센터봄,212881.74635154926,548387.4756663828
동천하우스6,205901.09008867232,562813.4409801392
덕유린장애인단기보호센터,201514.2552671748,552821.006022657
성산푸른초장단기보호시설,184324.1778714474,552569.5638499942
성산푸른초장주간보호시설,184324.1778714474,552569.5638499942
보라향그룹홈,191997.05625991913,556359.4003607753
열린마음,186299.26567541723,548779.6521780629
늘푸름보호작업장,183795.097402504,543736.4611452676
희망일굼터,186793.33010635118,545874.6433075848
강서뇌성마비 주간보호,183443.7192356667,552756.8691144062
내일을꿈꾸는사람들2호,204624.3260316396,563959.2361937158
중증장애인다수고용사업장굿윌스토어밀알도봉점,204182.97029786682,563329.7304303336
우리마포재활치료센터,194891.74029240635,550704.4274232584
서울특별시중구장애인복지관,202014.22507551263,551728.7204146802
금천구립장애인보호작업장,189990.44385668956,539831.3364694681
너나울공동생활가정,201289.03558007127,559665.0068521465
참사랑너나울주간보호센터,202041.68125869217,560095.0322430504
동문엔터프라이즈,205535.4527028368,551909.2678058766
강서구희망센터,186031.38392179034,549420.7222153513
늘푸른집,183342.08387811424,553882.3690919705
하상점자도서관,206636.03868861997,543674.3661908386
광림주간보호센터,202367.6300298289,547195.1803202523
빛나눔보호작업장,189863.33928883687,554615.7647395222
남산골주간보호센터,198833.22248413623,551027.3456887741
영광시각장애인모바일점자도서관,195499.23141334546,555072.6279251041
강북장애인종합복지관주간보호시설,203445.9707334971,558799.3721216087
밀알그린보호작업장,209162.9462513509,543264.147494228
강남 행복의집,202775.98883375834,545603.9030451564
강동행복의집,212647.2615182515,549886.0440870669
도봉단기보호시설,204099.20734507844,563761.1189192309
그린도봉주간보호센터,203417.6415457524,561862.4444009345
함께하네,203506.12320488237,562813.9661784284
해피죤아동발달지원센터,212741.71308313435,549693.8124145465
소망그룹홈4,202784.87314605,547218.2951060652
소망그룹홈3,202784.87314605,547218.2951060652
소망그룹홈2,202745.88606896158,547177.3832425555
루치아 공동생활가정,195226.04164988938,548569.5749668529
맑은샘장애인단기거주시설,186233.96971556154,546686.7595840219
여호와닛시의집,183270.359797789,551728.9373458066
서울곰두리체육센터,211688.48922897005,544735.7378695069
H2빌,183342.08387811424,553882.3690919705
서울시각장애인생활이동지원센터,194926.03840741346,545065.8777950954
공감보호작업장,205266.86916342753,549290.3392172072
행복플러스보호작업장,204095.47913932163,556151.674531891
행복플러스 단기보호시설,204095.47913932163,556151.674531891
비움,207440.30239742002,544696.3383735693
장애인내일키움직업교육센터,194206.66935034862,553120.7829965999
오뚜기직업재활센터,191427.8689615247,546851.6041156186
하늘아래주간보호시설,186212.9010130427,544156.2771443137
하늘마음,200565.76788268835,550288.1689645001
오뚜기하우스,184382.565899537,543764.8054520146
교남발달지원센터,186965.35398690056,549855.9878650266
동천하우스7,202845.8315690294,563277.2632829718
동천하우스8,202845.8315690294,563277.2632829718
소망드림복지센터,212667.72517682484,548745.6826068214
서울영동주간보호센터,202851.13362716947,546165.7905082052
꿈터2장애인주간보호센터,195055.02363044015,542354.3555415602
예수와주간보호센터,202367.6300298289,547195.1803202523
행복을파는장사꾼,186869.9518902819,549985.2397150843
성모자애단기거주시설미리암의집,210568.9483171037,541186.0524238386
희망하우스,207471.20925756067,550437.7918991824
참사랑 너나울 주간보호센터 2호,202041.68125869217,560095.0322430504
(주)의학신문사부설 아이맘인지발달연구소,206661.01277393074,551485.4863931438
예수성심우리엄마네,201255.37133484954,560656.7057401595
다니엘의집5호,204039.03167961966,541267.762990874
논현제3공동생활가정,202459.95403497227,545782.5041695364
최종병기공동생활가정,194145.4788828299,554920.985389888
위투게더,213650.20350858962,544419.0361627083
꿈드래장애인일자리센터,206446.1397390453,552956.5462250571
푸르메재단넥슨어린이재활병원,189450.61964117235,553907.2265422475
푸르메스포츠센터,189450.61964117235,553907.2265422475
마포푸르메직업재활센터,189450.61964117235,553907.2265422475
래그랜느보호작업장,207739.0826444901,543586.695424098
